global_pep_ID,local_pep_ID,frame,trajectory,target_status,pp_contacts,pl_contacts,dip_pp_contacts,dip_lp_contacts,hyd_lp_contacts,Ppep_Nlip_contacts,Npep_Plip_contacts,mean_separation,mean_apl
10,10,171,0,3,0,0,0,0,0,0,0,22.271436256634825,0.6090000000000001
22,22,171,0,1,0,19,0,2,52,3,2,9.222018410893432,0.6090000000000001
34,34,171,0,1,0,5,0,0,0,1,1,12.896147729428389,0.6090000000000001
10,10,172,0,3,0,0,0,0,0,0,0,22.200628423478232,0.6048
22,22,172,0,1,0,23,0,3,45,3,1,9.176137601812018,0.6048
34,34,172,0,1,0,6,0,0,0,1,1,12.828181756715487,0.6048
10,10,173,0,3,0,0,0,0,0,0,0,22.11938373895948,0.6227
22,22,173,0,1,0,25,0,2,46,3,1,9.12848382099174,0.6227
34,34,173,0,3,0,4,0,1,0,0,2,12.76222775055428,0.6227
10,10,174,0,3,0,0,0,0,0,0,0,22.04163445200307,0.6090000000000001
22,22,174,0,1,0,17,0,2,48,3,1,9.081781547324727,0.6090000000000001
34,34,174,0,1,0,7,0,0,0,1,1,12.695147737152787,0.6090000000000001
10,10,175,0,3,0,0,0,0,0,0,0,21.974521385481424,0.6227
22,22,175,0,1,0,27,0,2,30,3,1,9.0365299982346,0.6227
34,34,175,0,3,0,2,0,0,0,1,0,12.632006820813697,0.6227
10,10,176,0,3,0,0,0,0,0,0,0,21.881018154787466,0.6227
22,22,176,0,1,0,20,0,3,40,3,2,8.990727085795765,0.6227
34,34,176,0,3,0,0,0,0,0,0,0,12.581673803352013,0.6227
10,10,177,0,3,0,0,0,0,0,0,0,21.814163348767455,0.6246
22,22,177,0,1,0,20,0,2,36,3,2,8.945397308325708,0.6246
34,34,177,0,3,0,0,0,2,0,0,0,12.537151234265664,0.6246
10,10,178,0,3,0,0,0,1,0,0,0,21.73854005280572,0.6169
22,22,178,0,1,0,28,0,2,34,5,1,8.900113313929578,0.6169
34,34,178,0,3,0,0,0,2,0,0,0,12.491136631408237,0.6169
10,10,179,0,3,0,3,0,1,0,0,0,21.644577139023006,0.6227
22,22,179,0,1,0,25,0,5,29,4,1,8.856491026301725,0.6227
34,34,179,0,3,0,0,0,1,0,0,0,12.439727565389328,0.6227
10,10,180,0,3,0,0,0,0,0,0,0,21.572069527846047,0.5932999999999999
22,22,180,0,1,0,18,0,2,44,4,1,8.812412616767768,0.5932999999999999
34,34,180,0,3,0,1,0,0,0,0,0,12.397522016102007,0.5932999999999999
10,10,181,0,3,0,0,0,0,0,0,0,21.514875559370513,0.5759000000000001
22,22,181,0,1,0,22,0,4,27,4,1,8.767491099909924,0.5759000000000001
34,34,181,0,3,0,0,0,0,0,0,0,12.356828403085764,0.5759000000000001
10,10,182,0,3,0,0,0,0,0,0,0,21.453911860626423,0.5816000000000001
22,22,182,0,1,0,23,0,10,40,4,1,8.723747974197462,0.5816000000000001
34,34,182,0,3,0,0,0,0,0,0,0,12.313925017857612,0.5816000000000001
10,10,183,0,3,0,0,0,0,0,0,0,21.388894311097943,0.5816000000000001
22,22,183,0,1,0,18,0,2,39,4,0,8.680596948066682,0.5816000000000001
34,34,183,0,3,0,0,0,2,0,0,1,12.272404384591717,0.5816000000000001
10,10,184,0,3,0,0,0,0,0,0,0,21.32035299905014,0.5845999999999999
22,22,184,0,1,0,22,0,5,44,4,0,8.636317266005433,0.5845999999999999
34,34,184,0,3,0,3,0,2,0,0,1,12.213274634237798,0.5845999999999999
10,10,185,0,3,0,0,0,0,0,0,0,21.243644401983552,0.5349
22,22,185,0,1,0,21,0,2,35,4,1,8.593745509611024,0.5349
34,34,185,0,1,0,6,0,1,0,0,1,12.156790957928797,0.5349
10,10,186,0,3,0,0,0,0,0,0,0,21.177452987396716,0.5355
22,22,186,0,1,0,20,0,0,36,4,1,8.551630371103833,0.5355
34,34,186,0,1,0,6,0,2,0,0,1,12.0987784217613,0.5355
10,10,187,0,3,0,0,0,0,0,0,0,21.0898211881566,0.5351000000000001
22,22,187,0,1,0,18,0,0,39,4,1,8.511507613150629,0.5351000000000001
34,34,187,0,1,0,5,0,1,0,0,1,12.038826144841174,0.5351000000000001
10,10,188,0,3,0,0,0,0,0,0,0,21.00777570243772,0.5439
22,22,188,0,1,0,18,0,3,47,3,0,8.468591655579042,0.5439
34,34,188,0,1,0,9,0,0,0,0,1,11.981687957256632,0.5439
10,10,189,0,3,0,0,0,0,0,0,0,20.958241515522765,0.5871000000000001
22,22,189,0,1,0,23,0,4,33,4,0,8.427098285890162,0.5871000000000001
34,34,189,0,3,0,3,0,1,0,0,1,11.933549762660643,0.5871000000000001
10,10,190,0,3,0,0,0,0,0,0,0,20.903736398797115,0.5988
22,22,190,0,1,0,27,0,2,28,4,1,8.38622127135108,0.5988
34,34,190,0,3,0,4,0,2,0,0,2,11.893166465199808,0.5988
10,10,191,0,3,0,0,0,0,0,0,0,20.83570729406362,0.5988
22,22,191,0,1,0,30,0,3,38,5,1,8.347983127558566,0.5988
34,34,191,0,3,0,3,0,0,0,0,2,11.84623687452378,0.5988
10,10,192,0,3,0,0,0,0,0,0,0,20.76307203653726,0.5826
22,22,192,0,1,0,29,0,4,38,5,1,8.306664373339414,0.5826
34,34,192,0,3,0,2,0,0,0,0,2,11.807757680126644,0.5826
10,10,193,0,3,0,0,0,0,0,0,0,20.694500304842357,0.5862
22,22,193,0,1,0,27,0,4,36,5,1,8.267446493305297,0.5862
34,34,193,0,3,0,3,0,0,0,0,2,11.77056066315888,0.5862
10,10,194,0,3,0,2,0,0,0,0,0,20.62057465258824,0.5955999999999999
22,22,194,0,1,0,26,0,5,36,5,1,8.22966385824093,0.5955999999999999
34,34,194,0,3,0,2,0,1,0,0,1,11.723087400766753,0.5955999999999999
10,10,195,0,3,0,3,0,0,0,0,0,20.53876541389209,0.5955999999999999
22,22,195,0,1,0,30,0,1,39,5,0,8.193237887575174,0.5955999999999999
34,34,195,0,3,0,3,0,0,0,0,1,11.676471138380656,0.5955999999999999
10,10,196,0,3,0,2,0,0,0,0,0,20.461995334583985,0.5862
22,22,196,0,1,0,33,0,3,40,6,0,8.157144280048222,0.5862
34,34,196,0,3,0,2,0,1,0,0,1,11.635166615340518,0.5862
10,10,197,0,3,0,2,0,0,0,0,0,20.38410984096675,0.5862
22,22,197,0,1,0,31,0,9,36,6,1,8.12083859557002,0.5862
34,34,197,0,3,0,1,0,2,0,0,1,11.597430226204011,0.5862
10,10,198,0,3,0,1,0,0,0,0,0,20.31113170798948,0.5987
22,22,198,0,1,0,29,0,4,40,6,0,8.082765304465385,0.5987
34,34,198,0,3,0,2,0,1,0,0,2,11.549111406958172,0.5987
10,10,199,0,3,0,2,0,0,0,0,0,20.23988634775985,0.5862
22,22,199,0,1,0,33,0,4,32,6,0,8.04662204185782,0.5862
34,34,199,0,3,0,4,0,0,0,0,2,11.496468794984132,0.5862
10,10,200,0,3,0,0,0,0,0,0,0,20.173934592795405,0.6033000000000001
22,22,200,0,1,0,25,0,2,47,6,0,8.011883124126793,0.6033000000000001
34,34,200,0,3,0,2,0,2,0,0,1,11.443527735734891,0.6033000000000001
10,10,201,0,3,0,0,0,0,0,0,0,20.11104062392848,0.5892000000000001
22,22,201,0,1,0,30,0,1,53,6,0,7.975043377958922,0.5892000000000001
34,34,201,0,3,0,1,0,0,0,0,2,11.394631127385471,0.5892000000000001
10,10,202,0,3,0,0,0,0,0,0,0,20.05036242110997,0.5833000000000002
22,22,202,0,1,0,24,0,3,43,6,0,7.93973251557543,0.5833000000000002
34,34,202,0,3,0,4,0,0,0,0,1,11.348192396123984,0.5833000000000002
10,10,203,0,3,0,0,0,0,0,0,0,19.993097977257253,0.5872
22,22,203,0,1,0,27,0,3,44,5,0,7.9047490257156525,0.5872
34,34,203,0,3,0,3,0,0,0,1,1,11.297918129006158,0.5872
10,10,204,0,3,0,0,0,0,0,0,0,19.935394942339904,0.5460999999999999
22,22,204,0,1,0,26,0,2,49,6,1,7.8699421073181375,0.5460999999999999
34,34,204,0,1,0,5,0,1,0,1,1,11.247783064427432,0.5460999999999999
10,10,205,0,3,0,1,0,1,0,0,0,19.868882281200413,0.5815000000000001
22,22,205,0,1,0,24,0,3,39,6,1,7.834277468966161,0.5815000000000001
34,34,205,0,3,0,2,0,0,0,0,1,11.199536644720336,0.5815000000000001
10,10,206,0,3,0,2,0,0,0,0,0,19.796321694250693,0.5490999999999999
22,22,206,0,1,0,25,0,2,43,6,1,7.801499906486139,0.5490999999999999
34,34,206,0,1,0,6,0,0,0,0,2,11.148547431641786,0.5490999999999999
10,10,207,0,3,0,2,0,1,0,0,0,19.725989059567983,0.5971000000000001
22,22,207,0,1,0,28,0,1,38,6,1,7.765822472654573,0.5971000000000001
34,34,207,0,3,0,4,0,0,0,0,2,11.102450578852906,0.5971000000000001
10,10,208,0,3,0,2,0,0,0,0,0,19.65662779664356,0.5493
22,22,208,0,1,0,27,0,4,40,6,1,7.733206243525848,0.5493
34,34,208,0,1,0,5,0,0,0,0,2,11.05462779820034,0.5493
10,10,209,0,3,0,0,0,0,0,0,0,19.60393524970164,0.5476
22,22,209,0,1,0,25,0,0,53,6,1,7.699949107811547,0.5476
34,34,209,0,1,0,5,0,2,0,0,2,11.008343510672802,0.5476
10,10,210,0,3,0,1,0,0,0,0,0,19.542473026036447,0.5793
22,22,210,0,1,0,25,0,7,50,6,2,7.667691734955053,0.5793
34,34,210,0,3,0,2,0,1,0,0,2,10.962966811035493,0.5793
10,10,211,0,3,0,0,0,0,0,0,0,19.49005825816275,0.5913999999999999
22,22,211,0,1,0,29,0,5,48,6,2,7.634310427159044,0.5913999999999999
34,34,211,0,3,0,2,0,2,0,0,2,10.916665035477092,0.5913999999999999
10,10,212,0,3,0,0,0,0,0,0,0,19.430134354962497,0.5852999999999999
22,22,212,0,1,0,30,0,5,51,6,2,7.603214971536311,0.5852999999999999
34,34,212,0,3,0,4,0,1,0,0,2,10.872752420023582,0.5852999999999999
10,10,213,0,3,0,1,0,0,0,0,0,19.364022950549103,0.5852999999999999
22,22,213,0,1,0,26,0,2,57,6,2,7.573263023975194,0.5852999999999999
34,34,213,0,3,0,2,0,3,0,0,2,10.827943200278032,0.5852999999999999
10,10,214,0,3,0,0,0,0,0,0,1,19.305824404968245,0.5764999999999999
22,22,214,0,1,0,27,0,2,51,6,2,7.542063178635035,0.5764999999999999
34,34,214,0,3,0,3,0,3,0,0,2,10.781404537626472,0.5764999999999999
10,10,215,0,3,0,0,0,0,0,0,1,19.254297120547548,0.585
22,22,215,0,1,0,22,0,2,53,6,2,7.510869635581379,0.585
34,34,215,0,3,0,4,0,3,0,0,2,10.738363349532207,0.585
10,10,216,0,3,0,0,0,0,0,0,1,19.197215025985628,0.5795999999999999
22,22,216,0,1,0,21,0,4,46,6,2,7.477998576421068,0.5795999999999999
34,34,216,0,3,0,1,0,2,0,0,2,10.6939787719362,0.5795999999999999
10,10,217,0,3,0,1,0,0,0,0,1,19.13670900945412,0.5795999999999999
22,22,217,0,1,0,23,0,4,49,6,2,7.448550245218112,0.5795999999999999
34,34,217,0,3,0,1,0,1,0,0,2,10.651472133897128,0.5795999999999999
10,10,218,0,3,0,1,0,0,0,0,0,19.078383387687733,0.5975999999999999
22,22,218,0,1,0,24,0,1,49,6,2,7.419564378688901,0.5975999999999999
34,34,218,0,3,0,2,0,1,0,0,2,10.60813355698158,0.5975999999999999
10,10,219,0,3,0,1,0,0,0,0,0,19.013421187375663,0.5795999999999999
22,22,219,0,1,0,19,0,0,51,6,1,7.3900469558166195,0.5795999999999999
34,34,219,0,3,0,2,0,1,0,0,2,10.563663021821895,0.5795999999999999
10,10,220,0,3,0,2,0,0,0,0,0,18.956140082892233,0.6310999999999999
22,22,220,0,1,0,20,0,3,41,6,0,7.359161562066133,0.6310999999999999
